Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 1 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 2 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 3 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 4 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 1 INLET:System Node Temperature [C](TimeStep),ZONE 2 INLET:System Node Temperature [C](TimeStep),ZONE 3 INLET:System Node Temperature [C](TimeStep),ZONE 4 INLET:System Node Temperature [C](TimeStep),ZONE 1 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 2 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 3 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 4 INLET:System Node CO2 Concentration [ppm](TimeStep) 
 08/01  07:50:00,27.33333333,0.018915681,391.8633036,0,23.84863714,23.87558902,23.58082749,23.8147895,0.012428886,0.012428757,0.012316013,0.012316255,419.0358493,419.0349915,387.6024042,387.602305,0,0,0,0,23.79240258,23.81013932,23.54964563,23.79509372,0.012392562,0.012392419,0.012291595,0.012291838,415.5906382,415.5898888,387.4785826,387.4783763
 08/01  08:00:00,27.8,0.018602044,385.8631474,0,23.88994737,23.88993295,23.61306251,23.83577132,0.012447378,0.012372231,0.012329359,0.012329591,422.0748693,422.008038,387.6218079,387.6217347,0.024215855,0.351132903,0,0,13,13,23.58082749,23.8147895,0.009,0.009,0.012316013,0.012316255,419.0358493,419.0349915,387.6024042,387.602305
 08/01  08:10:00,27.88333333,0.018614189,381.8629912,0.0909091,23.88999937,23.88999964,23.64745021,23.858776,0.012446315,0.012292944,0.012340061,0.012340282,435.7003157,435.4437474,388.6650044,388.6647201,0.231647769,0.402152083,0,0,13,13,23.61306251,23.83577132,0.009,0.009,0.012329359,0.012329591,422.0748693,422.008038,387.6218079,387.6217347
 08/01  08:20:00,27.96666667,0.018625939,386.862835,0.0909091,23.88999999,23.89,23.68309093,23.88320396,0.01243678,0.01221397,0.012348413,0.01234862,455.3824805,454.7694619,390.5222563,390.5217438,0.221709051,0.426842787,0,0,13,13,23.64745021,23.858776,0.009,0.009,0.012340061,0.012340282,435.7003157,435.4437474,388.6650044,388.6647201
 08/01  08:30:00,28.05,0.01863729,382.8626788,0.272727,23.89,23.89,23.72238496,23.88998711,0.012416903,0.01213417,0.012362316,0.012288685,475.8274218,474.774244,395.0504796,394.9502429,0.25109479,0.465595933,0,0.329312771,13,13,23.68309093,13,0.009,0.009,0.012348413,0.009,455.3824805,454.7694619,390.5222563,390.5217438
 08/01  08:40:00,28.13333333,0.01864824,382.8625227,0.363636,23.89,23.89,23.76547709,23.88999998,0.012386088,0.012051256,0.012381353,0.012202073,494.7947203,493.3114106,402.1703223,401.8754586,0.271838441,0.494145296,0,0.292845656,13,13,23.72238496,13,0.009,0.009,0.012362316,0.009,475.8274218,474.774244,395.0504796,394.9502429
 08/01  08:50:00,28.21666667,0.018658782,381.8623665,0.545455,23.89,23.89,23.81354294,23.89,0.01234475,0.011964551,0.012408074,0.012115086,511.8757736,510.0220734,412.6590491,412.0474693,0.292783487,0.521706266,0,0.329914842,13,13,23.76547709,13,0.009,0.009,0.012381353,0.009,494.7947203,493.3114106,402.1703223,401.8754586
 08/01  09:00:00,28.3,0.018668916,386.8622104,0.363636,23.89,23.89,23.86098889,23.89,0.012293635,0.011874034,0.012424797,0.012024282,527.5505375,525.389662,421.9006864,420.9531593,0.314253895,0.551076904,0,0.336850727,13,13,23.81354294,13,0.009,0.009,0.012408074,0.009,511.8757736,510.0220734,412.6590491,412.0474693
 08/01  09:10:00,28.68333333,0.018420841,385.8620543,0.454545,23.89,23.89,23.88995071,23.89,0.012244257,0.011780808,0.012400986,0.011934202,545.3821333,542.8579129,431.5200514,430.3332525,0.32819776,0.572526746,0.198950352,0.369975449,13,13,13,13,0.009,0.009,0.009,0.009,527.5505375,525.389662,421.9006864,420.9531593
 08/01  09:20:00,29.06666667,0.018150885,387.8618982,0.363636,23.89,23.89,23.88999984,23.89,0.012198519,0.011689993,0.012311436,0.011846812,564.4129785,561.4605602,440.0053171,438.763117,0.342048249,0.594022568,0.376822027,0.368340611,13,13,13,13,0.009,0.009,0.009,0.009,545.3821333,542.8579129,431.5200514,430.3332525
 08/01  09:30:00,29.45,0.017858348,391.8617421,0.454545,23.89,23.89,23.89,23.89,0.012155398,0.011604476,0.012226069,0.011765133,583.4589409,580.0494628,449.0153353,447.7200863,0.356203662,0.615834164,0.256145015,0.401419184,13,13,13,13,0.009,0.009,0.009,0.009,564.4129785,561.4605602,440.0053171,438.763117
 08/01  09:40:00,29.83333333,0.017542524,385.861586,0.363636,23.89,23.89,23.89,23.89,0.012114082,0.011525545,0.012143616,0.01168762,601.7535264,597.8983014,456.8804151,455.5432632,0.369350858,0.634285015,0.309366195,0.400330272,13,13,13,13,0.009,0.009,0.009,0.009,583.4589409,580.0494628,449.0153353,447.7200863
 08/01  09:50:00,30.21666667,0.017202696,385.8614299,0.272727,23.89,23.89,23.89,23.89,0.012074293,0.011453286,0.012062761,0.011612487,619.1855811,614.9159072,462.4829254,461.1251741,0.382071553,0.652222535,0.309013282,0.399674312,13,13,13,13,0.009,0.009,0.009,0.009,601.7535264,597.8983014,456.8804151,455.5432632
 08/01  10:00:00,30.6,0.016838136,390.8612738,0.272727,23.89,23.89,23.89,23.89,0.012036028,0.011387263,0.011983995,0.0115404,635.9490731,631.2973617,466.8902805,465.5306112,0.394475636,0.669934476,0.325811058,0.416469322,13,13,13,13,0.009,0.009,0.009,0.009,619.1855811,614.9159072,462.4829254,461.1251741
 08/01  10:10:00,31.15,0.016511729,389.8611178,0.363636,23.89,23.89,23.89,23.89,0.012000077,0.011327482,0.01190971,0.011474228,652.0707064,647.0657874,472.1415872,470.7824887,0.402542749,0.683386512,0.356560882,0.447390594,13,13,13,13,0.009,0.009,0.009,0.009,635.9490731,631.2973617,466.8902805,465.5306112
 08/01  10:20:00,31.7,0.016145236,388.8609617,0.363636,23.89,23.89,23.89,23.89,0.011966969,0.011273615,0.011839807,0.011413512,667.548779,662.2157542,477.9739254,476.6100493,0.409963535,0.697383107,0.371197144,0.462335982,13,13,13,13,0.009,0.009,0.009,0.009,652.0707064,647.0657874,472.1415872,470.7824887
 08/01  10:30:00,32.25,0.015736855,389.8608057,0.545455,23.89,23.89,23.89,23.89,0.011936874,0.011225332,0.011776707,0.011361169,682.4359351,676.7978204,486.4827573,485.0940249,0.416850263,0.710177447,0.419441403,0.511053654,13,13,13,13,0.009,0.009,0.009,0.009,667.548779,662.2157542,477.9739254,476.6100493
