Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep) 
 08/07  17:40:00,29.4,0.01544655,388.7239021,0,22.98902633,24.21584597,22.83572002,23.19779152,0.009475682,0.009476139,0.008386516,0.008386793,900.2460419,898.7982551,596.5705951,596.3884545
 08/07  17:50:00,29.4,0.015358126,391.7237566,0,22.96505628,24.19221775,22.83837167,23.20565628,0.009439022,0.009439285,0.008364693,0.008364932,887.4337806,885.9595009,587.8847059,587.6997739
 08/07  18:00:00,29.4,0.015269726,389.723611,0,22.94798804,24.1703965,22.84079411,23.2128801,0.009404582,0.009404667,0.008343497,0.0083437,875.383141,873.8858694,579.5144477,579.3271735
 08/07  18:10:00,29.21666667,0.015280009,385.7234655,0,22.90453483,24.14260587,22.8423169,23.219027,0.00936099,0.009360876,0.008323692,0.008323862,860.7290617,859.2113055,571.4859445,571.2966068
 08/07  18:20:00,29.03333333,0.015288115,384.72332,0,22.85174467,24.11025174,22.84236244,23.22371567,0.009312347,0.009312025,0.008305161,0.008305301,844.6180355,843.0818938,563.7673329,563.5762001
 08/07  18:30:00,28.85,0.015294082,384.7231745,0,22.80362601,24.07579854,22.84072554,23.22680705,0.009263231,0.009262708,0.008287561,0.008287672,828.417123,826.8649557,556.3500797,556.1574629
 08/07  18:40:00,28.66666667,0.01529795,381.723029,0,22.76323077,24.04060535,22.83741724,23.22830409,0.009215671,0.009214959,0.008270572,0.008270658,812.7073625,811.1416823,549.1602895,548.9664295
 08/07  18:50:00,28.48333333,0.015299757,383.7228836,0,22.72811469,24.00506303,22.83250445,23.22824771,0.00916998,0.009169095,0.008253947,0.008254007,797.7096708,796.1335946,542.2617633,542.0669894
 08/07  19:00:00,28.3,0.01529954,382.7227381,0,22.69496009,23.9688704,22.82598269,23.22663214,0.009125854,0.00912481,0.008237483,0.008237519,783.3746753,781.7913218,535.6332025,535.43781
 08/07  19:10:00,27.93333333,0.015534213,390.7225927,0,22.56597336,23.90266487,22.80166854,23.21173425,0.009056517,0.009055234,0.008213705,0.008213708,761.4185773,759.8288636,526.3732149,526.1779469
 08/07  19:20:00,27.56666667,0.015750994,383.7224472,0,22.41350879,23.81876949,22.76622152,23.18812728,0.00897502,0.008973463,0.00818688,0.008186846,735.3722221,733.7766316,515.5619346,515.3671863
 08/07  19:30:00,27.2,0.015950427,383.7223018,0,22.28964311,23.73125605,22.72690367,23.1609093,0.008894364,0.008892554,0.008160913,0.008160846,709.3133103,707.7159429,504.7404,504.5467248
 08/07  19:40:00,26.83333333,0.016133051,381.7221564,0,22.20127181,23.64652542,22.68707032,23.13248381,0.00882003,0.008818011,0.008137278,0.008137183,685.0187959,683.4267875,494.5702508,494.378208
 08/07  19:50:00,26.46666667,0.016299393,390.722011,0,22.13541631,23.56572764,22.64746002,23.10343311,0.00875269,0.008750512,0.008115975,0.008115856,663.2710402,661.6950608,485.6468947,485.4577053
 08/07  20:00:00,26.1,0.016449975,390.7218656,0,22.07927836,23.48813495,22.60787014,23.07367571,0.008691379,0.008689086,0.008096529,0.008096391,643.7246894,642.174288,477.7624632,477.5770585
 08/07  20:10:00,26.01666667,0.016546024,381.7217202,0,22.02854412,23.41353343,22.56839041,23.0433165,0.008634875,0.008632504,0.008078315,0.008078161,625.5386409,624.0194453,470.2413306,470.0596711
 08/07  20:20:00,25.93333333,0.016640636,383.7215749,0,21.98147308,23.34167588,22.52905297,23.01242167,0.008582337,0.008579917,0.008060924,0.008060755,608.6906445,607.2077907,463.18271,463.0049905
 08/07  20:30:00,25.85,0.016733823,383.7214295,0,21.93679646,23.27222503,22.48980337,22.98099935,0.008533234,0.008530788,0.008044125,0.008043944,593.1652853,591.7232565,456.6549272,456.4814873
 08/07  20:40:00,25.76666667,0.016825593,382.7212842,0,21.8934166,23.2048201,22.4505481,22.9490295,0.008487184,0.008484732,0.00802777,0.008027578,578.8541485,577.4563438,450.6143123,450.4454331
 08/07  20:50:00,25.68333333,0.016915955,385.7211389,0,21.85050917,23.13912679,22.41119007,22.9164864,0.008443863,0.00844142,0.008011737,0.008011534,565.8186731,564.4681957,445.1794712,445.0156353
 08/07  21:00:00,25.6,0.01700492,391.7209936,0,21.80754559,23.0748535,22.37164212,22.88334743,0.008402965,0.008400544,0.007995912,0.0079957,554.192608,552.8925915,440.5374243,440.3794166
 08/07  21:10:00,25.6,0.01700492,389.7208483,0,21.76859133,23.01295689,22.33253333,22.85007234,0.008367672,0.008365297,0.00798365,0.007983434,543.6310674,542.3827819,436.3900248,436.2381029
 08/07  21:20:00,25.6,0.01700492,383.720703,0,21.73448691,22.95386399,22.29420052,22.81692971,0.008339676,0.008337376,0.007976807,0.007976598,533.6750989,532.4777585,432.3227862,432.1765083
 08/07  21:30:00,25.6,0.01700492,387.7205577,0,21.70374705,22.89745466,22.25666711,22.78397905,0.008319091,0.00831689,0.00797565,0.007975456,524.5243779,523.3779504,428.5785121,428.4378959
 08/07  21:40:00,25.6,0.01700492,390.7204125,0,21.67461136,22.84338481,22.21981822,22.75118406,0.00830532,0.008303238,0.007979723,0.007979552,516.2994849,515.2043005,425.3177445,425.1831019
 08/07  21:50:00,25.6,0.01700492,386.7202672,0,21.64594501,22.79129472,22.18351636,22.71848849,0.008297636,0.008295688,0.00798843,0.007988288,508.6855426,507.6405793,422.2616579,422.1328127
 08/07  22:00:00,25.6,0.01700492,383.720122,0,21.61722317,22.74087819,22.14764219,22.68584329,0.008295391,0.008293587,0.00800124,0.008001133,501.4874969,500.490937,419.2483653,419.1248805
 08/07  22:10:00,25.4,0.017111567,383.7199768,0,21.32139165,22.61278934,22.06522454,22.61935195,0.008281295,0.008279648,0.008015866,0.008015797,489.1975911,488.2668056,414.9638121,414.8480481
 08/07  22:20:00,25.2,0.017212871,385.7198315,0,21.13547646,22.53901899,22.01913541,22.58404219,0.00826562,0.008263991,0.008014056,0.008013986,483.81997,482.9135202,413.4590788,413.3467894
 08/07  22:30:00,25,0.017308928,386.7196863,0,20.90759644,22.41697254,21.94024672,22.52219281,0.008235418,0.008233803,0.008006159,0.008006082,475.1356111,474.2714008,411.0074769,410.9014544
 08/07  22:40:00,24.8,0.017399829,383.7195412,0,20.69524877,22.26246071,21.83675283,22.43904354,0.008193723,0.008192126,0.007992228,0.007992136,463.8641496,463.0581146,407.4956021,407.3975853
 08/07  22:50:00,24.6,0.017485671,389.719396,0,20.53825398,22.10411875,21.72658534,22.3485672,0.008145478,0.008143891,0.007971134,0.007971016,453.1106153,452.3716828,404.3381842,404.2495503
 08/07  23:00:00,24.4,0.017566544,385.7192508,0,20.43144661,21.95625867,21.61940533,22.25862591,0.008093656,0.008092068,0.007942869,0.007942714,443.6646959,442.9928082,401.4911065,401.4112757
 08/07  23:10:00,24.4,0.017665805,386.7191057,0,20.34950233,21.82057614,21.51794376,22.17167522,0.008039303,0.008037711,0.007910507,0.007910311,435.0984962,434.4913634,399.0949979,399.0232263
 08/07  23:20:00,24.4,0.017765096,383.7189606,0,20.2798942,21.69600905,21.4218577,22.08771505,0.0079852,0.007983615,0.007876205,0.007875969,427.3014443,426.7549282,396.8580382,396.7931064
 08/07  23:30:00,24.4,0.017864419,382.7188154,0,20.216969,21.58078485,21.33016869,22.00619002,0.007932788,0.007931224,0.007840889,0.007840617,420.3852587,419.8951358,394.7445791,394.6854942
 08/07  23:40:00,24.4,0.017963772,391.7186703,0,20.15801407,21.47332114,21.24209842,21.92665615,0.007882313,0.007880785,0.007804844,0.007804538,415.2111566,414.776767,393.627689,393.5755566
 08/07  23:50:00,24.4,0.018063157,382.7185252,0,20.10153151,21.37239231,21.15714144,21.84885236,0.007833532,0.007832048,0.007768159,0.007767823,410.57807,410.1936449,392.395451,392.3489174
 08/07  24:00:00,24.4,0.018162572,391.7183802,0,20.04651917,21.27704672,21.07495066,21.77262094,0.007786133,0.007784698,0.00773091,0.007730546,407.1329152,406.7957028,391.8061547,391.7656963
 08/08  00:10:00,24.4,0.018162572,391.7182351,0,20.00399683,21.189697,20.99719709,21.69917059,0.007750936,0.007749593,0.007704288,0.007703923,404.583828,404.2902051,391.6605835,391.6262088
 08/08  00:20:00,24.4,0.018162572,389.71809,0,19.97578501,21.11135274,20.92472792,21.62917143,0.007733303,0.007732107,0.007693932,0.007693602,402.406182,402.1509996,391.5078128,391.4785463
 08/08  00:30:00,24.4,0.018162572,383.717945,0,19.95749834,21.04155796,20.85750608,21.56270182,0.007733111,0.007732103,0.007699927,0.007699663,399.9706939,399.7473272,390.777648,390.7514021
 08/08  00:40:00,24.4,0.018162572,383.7177999,0,19.94436221,20.97927032,20.79510842,21.49957076,0.007747971,0.007747172,0.007720044,0.007719867,397.5312822,397.3349688,389.7753181,389.7509873
